Title: The Panchromatic Hubble Andromeda Treasury: Triangulum Extended 
       Region (PHATTER). IV. Star Cluster Catalog  
Authors: Johnson L.C., Wainer T.M., TorresVillanueva E.E., Seth A.C., 
         Williams B.F., Durbin M.J., Dalcanton J.J., Weisz D.R., Bell E.F.,
         Guhathakurta P., Skillman E., Smercina A. 
Table: SLUG Results
================================================================================
Byte-by-byte Description of file: apjac8deft3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label       Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---         ID          PHATTER Catalog ID
       6 A1     ---         ErrCutFlag  Exclude flag (1)
       8 I1     ---         Nfilters    Number of filters used for fit
  10- 13 F4.2   [solMass]   logM-P16    The 16th percentile of log Mass PDF (2)
  15- 18 F4.2   [solMass]   logM-P50    The 50th percentile of log Mass PDF (2)
  20- 23 F4.2   [solMass]   logM-P84    The 84th percentile of log Mass PDF (2)
  25- 28 F4.2   [yr]        logAge-P16  The 16th percentile of log Age PDF (2)
  30- 33 F4.2   [yr]        logAge-P50  The 50th percentile of log Age PDF (2)
  35- 38 F4.2   [yr]        logAge-P84  The 84th percentile of log Age PDF (2)
  40- 43 F4.2   mag         AV-P16      The 16th percentile of AV PDF (2)
  45- 48 F4.2   mag         AV-P50      The 50th percentile of AV PDF (2)
  50- 53 F4.2   mag         AV-P84      The 84th percentile of AV PDF (2)
--------------------------------------------------------------------------------
Note (1): Set to true for clusters with large uncertainties (16th to 84th
          percentile range >1.2 dex in age or >1.3 dex in mass).
Note (2): Percentiles of the marginalized 1D PDFs.
--------------------------------------------------------------------------------
   3 F 4 2.47 3.23 3.43 7.72 8.25 8.41 0.24 0.43 0.69
   5 F 6 3.99 4.07 4.16 8.41 8.49 8.57 0.23 0.41 0.57
   7 F 6 3.97 4.05 4.12 8.40 8.49 8.58 0.38 0.58 0.74
   8 F 6 4.53 4.59 4.65 8.17 8.23 8.28 0.20 0.26 0.32
  11 F 6 2.45 3.46 3.56 7.71 8.31 8.38 0.10 0.23 0.32
  13 F 6 3.60 3.95 4.06 7.69 7.95 8.11 0.37 0.56 0.78
  14 F 3 3.92 4.02 4.12 8.46 8.59 8.71 0.29 0.45 0.67
  15 F 4 4.21 4.29 4.35 7.74 7.89 7.95 0.17 0.25 0.38
  16 T 4 2.89 4.69 4.79 6.80 8.47 8.83 0.35 1.07 1.62
  17 F 6 3.83 3.93 4.01 7.76 7.87 7.95 0.17 0.30 0.49
