Table 3 
The Chemical Abundances and Radial Velocities of Nebulae


No.	c(Hbeta)	n _e	T _e [O III]	T _e [N II]	T _e [O II]	O/H	O/H	O/H	N/H	Ne/H	S/H	Cl/H	Ar/H	He/H	V	sigma (V_r)	R	R/R _25	
		cm^-3	K	K	K	(N2)	(O3N2)								(km s^-1)	(km s^-1)	(kpc)		
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	
PNe																	
1	0.729	1000.0	cdots	cdots	cdots	cdots	cdots	8.71	cdots	cdots	6.67	cdots	cdots	cdots	-55	33	5.897	0.8188	
2	0.132	148.3	cdots	cdots	cdots	cdots	cdots	8.68	8.01	cdots	6.96	cdots	5.94	cdots	-101	27	2.267	0.3148	
3	0.117	1.0	9656	cdots	cdots	cdots	cdots	8.44	7.77	7.76	6.51	5.15	6.14	10.76	-72	25	7.404	1.0280	
4	0.480	1.0	cdots	cdots	cdots	cdots	cdots	8.58	7.75	cdots	6.71	cdots	cdots	10.77	-80	36	2.506	0.3479	
5	0.286	46.7	cdots	cdots	cdots	cdots	cdots	8.63	cdots	cdots	cdots	cdots	cdots	cdots	-104	0	2.926	0.4062	
6	0.280	1000.0	cdots	cdots	cdots	cdots	cdots	8.31	cdots	cdots	cdots	cdots	5.7	10.36	94	0	8.030	1.1149	
7	0.348	8.6	10,446	cdots	cdots	cdots	cdots	8.19	7.50	7.54	6.20	cdots	5.57	10.63	-97	1	8.093	1.1237	
8	0.079	51.8	10,129	cdots	cdots	cdots	cdots	8.20	7.90	7.60	6.56	4.66	6.11	10.84	1	7	6.383	0.8862	
9	0.003	6.1	cdots	cdots	cdots	cdots	cdots	8.31	7.71	cdots	6.51	cdots	cdots	cdots	20	6	5.906	0.8200	
10	0.073	300.8	10,568	cdots	cdots	cdots	cdots	8.17	7.84	7.60	6.81	4.93	6.14	10.87	-10	7	6.360	0.8831	
11	0.097	1.0	cdots	cdots	cdots	cdots	cdots	8.48	7.25	8.39	6.8	cdots	5.75	10.57	78	7	5.535	0.7685	
12	0.490	280.4	cdots	cdots	cdots	cdots	cdots	8.49	cdots	cdots	6.65	cdots	cdots	cdots	-50	9	2.530	0.3513	
13	0.222	6.1	8914	cdots	cdots	cdots	cdots	8.69	cdots	8.48	6.53	cdots	6.15	cdots	-79	7	5.034	0.6990	
14	0.218	41.6	8451	cdots	cdots	cdots	cdots	8.58	7.28	7.95	6.52	cdots	5.73	10.49	-45	5	7.470	1.0372	
15	0.178	615.7	cdots	cdots	cdots	cdots	cdots	8.35	7.30	cdots	6.49	cdots	5.45	10.90	78	12	8.074	1.1210	
H II regions																	
16	0.007	13.7	cdots	cdots	cdots	8.29	8.47	7.62	6.98	cdots	6.07	cdots	cdots	11.13	-90	38	1.554	0.2157	
17	0.001	31.5	8138	cdots	cdots	8.28	8.29	8.34	7.44	7.92	6.39	cdots	6.14	10.97	-54	37	2.099	0.2915	
18	0.003	31.5	8091	cdots	cdots	8.30	8.27	8.41	7.64	8.07	6.84	cdots	6.19	11.04	-4	43	1.598	0.2218	
19	0.115	260.1	cdots	cdots	cdots	8.19	8.32	7.66	7.00	cdots	6.15	cdots	cdots	cdots	114	61	4.770	0.6623	
20	0.221	cdots	cdots	cdots	cdots	8.43	8.40	7.83	7.44	cdots	6.37	cdots	cdots	cdots	103	40	0.775	0.1076	
21	0.171	77.2	cdots	cdots	cdots	8.23	8.23	8.19	6.86	cdots	6.21	cdots	5.58	cdots	-96	20	6.520	0.9053	
22	0.253	1.0	8690	cdots	cdots	8.27	8.33	8.29	7.11	7.90	6.51	cdots	5.98	10.81	55	19	5.310	0.7372	
23	0.165	1.0	cdots	cdots	cdots	8.27	8.39	8.11	6.72	cdots	6.38	cdots	5.77	10.81	-20	26	7.569	1.0508	
24	0.069	1.0	7945	cdots	cdots	8.26	8.24	8.45	7.59	7.64	6.58	cdots	6.15	10.78	-30	7	2.078	0.2885	
25	0.638	1000.0	cdots	cdots	cdots	8.00	8.45	6.33	6.18	7.69	cdots	cdots	cdots	10.82	-14	0	7.804	1.0835	
26	0.07	1.0	cdots	cdots	cdots	8.47	8.48	7.79	7.29	cdots	6.48	cdots	5.55	10.70	-31	18	1.447	0.2009	
27	0.117	1.0	cdots	cdots	cdots	8.45	8.36	8.10	7.35	cdots	6.76	cdots	cdots	cdots	-2	60	4.505	0.6255	
28	0.208	1.0	cdots	cdots	cdots	8.46	8.41	7.84	7.53	cdots	6.63	cdots	5.82	11.02	-9	18	0.297	0.0413	
29	0.051	56.9	cdots	cdots	cdots	8.36	8.44	8.05	6.99	cdots	6.52	cdots	5.61	10.62	-93	32	4.901	0.6805	
30	0.142	1.0	cdots	cdots	cdots	8.36	8.30	8.15	7.06	cdots	6.44	cdots	5.34	cdots	-84	45	4.990	0.6928	
31	0.157	82.3	cdots	cdots	cdots	8.38	8.46	8.00	7.02	cdots	6.36	cdots	cdots	cdots	-84	14	3.011	0.4181	
32	0.474	321.1	cdots	cdots	cdots	8.39	8.32	7.80	6.57	cdots	6.01	cdots	cdots	cdots	-120	60	6.508	0.9035	
33	0.05	1.0	cdots	cdots	cdots	8.41	8.47	7.69	6.80	cdots	6.56	cdots	5.75	10.61	17	38	2.331	0.3236	
34	0.004	1.0	8884	cdots	cdots	8.30	8.31	8.44	7.12	7.96	6.68	cdots	6.01	10.77	9	26	3.533	0.4905	
35	0.067	13.7	cdots	cdots	cdots	8.28	8.26	8.07	7.32	cdots	6.33	cdots	5.74	10.79	-3	24	1.786	0.2479	
